Corvus frugilegus
Pelecanus crispus
Charadrius alexandrinus
Charadrius hiaticula
Calidris minuta
Recurvirostra avosetta
Platalea leucorodia
Laridae
Marmaronetta angustirostris
Plegadis falcinellus
Tringa ochropus
Tringa glareola
Philomachus pugnax
Gallinula chloropus
Charadrius dubius
Egretta garzetta
Tadorna ferruginea
Anas strepera
Anas crecca
Anas clypeata
Himantopus himantopus
Ardea cinerea
Aythya nyroca
Anas platyrhynchos
Fulica atra
Turdus iliacus
Columba livia
Larus argentatus
Aythya ferina
Aythya fuligula
Larus ridibundus
Cygnus olor
Buteo buteo
Numenius arquata
Scolopacidae
Anser anser
Phalacrocorax carbo
Ardea alba
Podiceps cristatus
Accipiter nisus
Anatidae
Anserinae
Corvus splendens
Cygnus atratus
Garrulus glandarius
Columba palumbus
Branta leucopsis
Sturnus vulgaris
Branta canadensis
Anser brachyrhynchus
Alopochen aegyptiaca
Pica pica
Anser albifrons
Cairina moschata
Numida meleagris
Phasianidae
Pavo cristatus
Phasianus colchicus
Falco peregrinus
Streptopelia decaocto
Larus marinus
Larus canus
Tachybaptus ruficollis
Falco tinnunculus
Chroicocephalus ridibundus
Tyto alba
Tadorna tadorna
Arenaria interpres
Corvus cornix
Streptopelia capicola
Passer domesticus
Corvus brachyrhynchos
Haliaeetus leucocephalus
Anser caerulescens
Aythya americana
Bucephala albeola
Buteo jamaicensis
Mergus serrator
Mergus merganser
Bubo scandiacus
Cathartes aura
Cyanocitta cristata
Anas rubripes
Lophodytes cucullatus
Buteo platypterus
Corvus corax
Aegolius acadicus
Somateria mollissima
Bonasa umbellus
Anas americana
Anser indicus
Podiceps nigricollis
Larus ichthyaetus
Cygnus cygnus
Aythya marila
Aix galericulata
Pycnonotus sinensis
Platalea minor
Turdus pallidus
Passeridae
Nycticorax nycticorax
Anas acuta
Accipiter gentilis
Turdus merula
Pelecanus onocrotalus
Pelecanus philippensis
Ciconia ciconia
Haliaeetus albicilla
Anas penelope
Turdus philomelos
Buteo lagopus
Branta bernicla
Rallus aquaticus
Scolopax rusticola
Anser fabalis
Morus bassanus
Bubo bubo
Milvus milvus
Corvus monedula
Calidris canutus
Stercorarius skua
Strix uralensis
Aquila chrysaetos
Bubulcus ibis
Columbidae
Cygnus columbianus
Botaurus stellaris
Pelecanus rufescens
Corvidae
Gruidae
Charadriidae
Psittacidae
Columba guinea
Ciconiidae
Phoenicopterus ruber
Accipitridae
Carduelis chloris
Gallus gallus
Grus grus
Asio otus
Meleagris gallopavo
Branta sandvicensis
Strigidae
Strix nebulosa
Turdidae
Cygnus
Ardeidae
Rheidae
Spheniscus humboldti
Phoenicopteridae
Pelecanidae
Parus major
Rallidae
Falconidae
Phalacrocoracidae
Threskiornithidae
Numididae
Hirundinidae
Spheniscidae
Haematopodidae
Rhea americana
Corvus corone
Motacillidae
Perdix perdix
Coturnix coturnix
Casuariidae
Bombycillidae
Sulidae
Podicipedidae
Laniidae
Acridotheres cristatellus
Pycnonotus jocosus
Copsychus saularis
Zosterops japonicus
Lonchura striata
Corvus macrorhynchos
Aquila audax
Anser erythropus
Falco cherrug
Strix aluco
Larus cachinnans
Ardeola grayii
Tyto longimembris
Threskiornis melanocephalus
Leptoptilos javanicus
Anthropoides virgo
Harpactes erythrocephalus
Phoenicopterus roseus
Falco columbarius
Falco naumanni
Vanellus spinosus
Carduelis flammea
Larus armenicus
Balearica regulorum
Larus michahellis
Parabuteo unicinctus
Athene noctua
Ichthyaetus melanocephalus
Chroicocephalus cirrocephalus
Haliaeetus pelagicus
Anas poecilorhyncha
Spizaetus nipalensis
Milvus migrans
Buteo japonicus
