movement_reference,foreign_reference,lot_no,lot_date,departure_date,arrival_date,qty_pigs,qty_doa,fci_declaration,dep_assurance_no,dep_name,dep_address,dep_postcode,departure_cph,dest_assurance_no,dest_name,dest_address,dest_postcode,dest_cph
152740,CVGAEEUIFU,210UHYJLIPLAO,08/10/2018,20191102,20191103,152,27,9504,10490,VVKPWUQIYQ,54 APTYSZANHP,DK JBR,47/396/4417,342005,ZBKBQOEQVH,90 BUTWXOQIEV,WW BKY,63/841/5112
190753,NBCSPPPTQW,846ZGBNOFABQV,27/04/2018,20191115,20191116,138,3,6656,921699,TOCWJGEJEF,25 ASZKARRMPC,JC JFU,89/635/3615,567201,PBFPOMVKOW,13 ERTXFREEUE,DL BGG,20/645/8856
275940,SXIHRXFCVJ,146LMDFWMMGES,15/01/2018,20191221,20191222,84,10,3524,297316,KNOAMNHIYK,40 QEEMXXKMMF,OU MUP,28/732/9624,855499,EBHCRZBHWY,16 EUKEMBWVPD,FD LJB,84/458/5686
316106,NFTFPGGTRL,765RHZEQUAWRV,15/09/2018,20190220,20190221,111,17,7001,434775,ANWUVTEAAL,63 VWRWJHNZIF,HP CTL,92/927/4215,236996,CRRFSDTASQ,5 MFIMUEAZTW,SU LEF,86/828/1484
259979,JMHWZQADRA,894BWUVHPEFET,24/06/2018,20190222,20190223,137,23,6072,15264,CRLKCLHVCC,96 SWVGCCXWNO,KA QSZ,24/372/9381,38482,IIFPIEHWPU,41 QDSNMONIZV,IN DLT,70/581/5748
858612,THCAQGEXXM,839OSERWRIHVR,15/09/2018,20190722,20190723,119,4,2960,93761,GWOBAUARQH,15 YZNDKFRKAC,BN TYH,92/483/6260,233508,VYRCTXLBZR,82 FRUNODBAJB,JQ HUE,13/904/8657
59265,APXONDOPHL,974VQLPRJZVWA,18/03/2018,20190905,20190906,83,3,6909,269897,EKWETUSVAS,43 VQRRDINAIT,MA BOY,50/299/5237,573515,DFFZOZOGLO,71 INRHTYQCMP,AH TYL,25/923/7192
744780,SEZGPZDPEO,214KQOJXNFALH,05/07/2018,20191217,20191218,40,0,9322,550144,JTQZYLSUBQ,30 QSMQIAQBXO,IE OYW,52/620/3530,800223,EFRGCFHUSH,41 PJDFGBTOPB,KV LWA,64/414/8990
110372,GQOXOBHRVR,403RDTJSYJETD,11/12/2018,20190328,20190329,137,10,9318,395639,QBUEBMKOSC,62 PWXXSUPCAC,TX YQU,34/467/9102,329566,RFDVUSTUEG,5 VKHJNRRCYK,UN LBN,14/493/9281
927726,PFLIMGGFRI,889HBMAPQPVBJ,15/02/2018,20190824,20190825,97,4,2597,640181,YAPNUMTPYW,40 YQIREXPVHI,WO OHX,21/733/9411,121544,FIHTIEPTUN,45 MSUNNIJHZW,GB LAM,92/791/5566
871057,LSNQJRSLOD,476STFCECANJC,11/10/2018,20190609,20190610,89,3,6421,300499,EWOADAINMI,44 PLPBPMRYFZ,MS RXG,94/329/8442,604538,HLSIORWIGI,66 JOLGNDMUVL,OX NNV,46/681/2814
