"dyr_anon","paritet","kalv_stoer","kalv_kon","klv_dato","metritis","metritis_dato","Efterbyrd","Efterbyrd_dato","maelk","fedt_pct","prot_pct","Celletal","ydelse_dato"
2515118553,3,3,2,2018-08-27,0,,0,,,,,,2019-09-03
2515118585,3,3,2,2018-08-18,0,,1,2018-08-21,22.4,4.99,4.16,1435,2019-09-03
2515118605,4,3,1,2019-03-19,0,,1,2019-03-25,28.2,3.98,3.28,141,2019-05-21
2515118614,3,3,2,2018-08-03,0,,0,,25.6,4.28,3.99,675,2019-05-21
2515118619,4,,8,2019-03-26,0,,0,,34.7,4.92,4.11,695,2019-05-21
2515118645,3,3,2,2018-12-02,0,,0,,21.8,4.65,4.39,175,2019-09-03
2515118654,3,3,2,2019-01-30,0,,0,,32.2,4.69,3.37,109,2019-05-21
2515118657,3,,2,2019-09-02,0,,0,,,,,,2019-09-03
2515118662,2,3,1,2018-07-15,0,,0,,,,,,2019-09-03
2515120341,6,3,2,2019-03-29,0,,0,,42.7,4.13,3.1,4289,2019-05-21
2515120580,5,3,1,2019-01-14,0,,0,,40.4,3.46,3.73,32,2019-09-03
2515120596,5,3,1,2018-06-08,0,,0,,21.3,6.05,4.75,2234,2019-09-03
2515120690,6,4,1,2019-02-01,0,,0,,26.6,5.01,3.86,768,2019-09-03
2515120692,6,3,1,2019-01-24,0,,0,,19.3,5.99,4.17,1188,2019-09-03
2515120693,6,3,2,2019-01-10,0,,0,,6.7,6.13,5.18,1810,2019-01-15
2515120738,5,2,2,2018-06-09,0,,1,2018-06-12,24.5,3.99,3.61,1709,2019-04-24
2515120778,6,3,2,2019-08-22,0,,1,2019-08-25,27.8,4.71,3.44,514,2019-09-03
2515120800,5,3,2,2019-01-31,0,,0,,35.8,5.31,4.12,1871,2019-09-03
2515120809,5,2,2,2018-11-05,0,,0,,18,5.39,4.29,764,2019-09-03
2515120885,4,4,1,2018-02-03,0,,0,,18.2,3.48,3.77,1159,2019-01-15
2515120921,4,2,1,2018-06-12,0,,0,,24.6,3.29,3.87,365,2019-04-24
2515120972,5,3,1,2019-03-24,0,,0,,24.7,4.81,3.5,386,2019-09-03
2515120978,4,4,1,2019-03-07,0,,0,,27.1,4.4,3.89,1481,2019-09-03
2515120985,4,3,1,2018-10-14,0,,0,,40.9,3.51,3.41,105,2019-05-21
2515121019,5,3,1,2019-05-18,0,,0,,34.9,5.33,3.61,208,2019-09-03
2515121051,5,3,1,2019-07-14,0,,0,,41.2,4.48,3.18,26,2019-09-03
2515121055,5,1,2,2019-08-07,0,,0,,39.2,5.03,3.44,367,2019-09-03
2515121066,4,3,1,2019-07-03,0,,0,,47.7,3.45,3.04,1159,2019-09-03
2515121073,4,4,1,2018-12-22,0,,0,,29.8,4.26,4.14,29,2019-09-03
2515121074,3,2,1,2017-08-10,0,,0,,18.1,4.42,4.4,177,2019-05-21
2515121080,4,2,2,2018-09-20,0,,0,,24.4,4.2,3.89,1539,2019-07-30
2515121084,5,2,1,2019-03-20,0,,0,,21.3,8.77,3.44,218,2019-04-24
2515121089,4,3,2,2018-09-18,0,,0,,20.5,4.97,4.27,385,2019-09-03
2515121106,3,2,2,2018-12-18,0,,0,,25.9,5.13,4.4,18,2019-09-03
2515121110,4,3,2,2018-07-03,0,,0,,16.8,6.26,4.83,490,2019-05-21
2515121131,4,2,1,2019-01-27,0,,1,2019-01-31,34.6,3.06,3.34,882,2019-07-30
2515121133,3,2,2,2018-07-25,1,2018-08-06,0,,20.7,4.57,4.04,124,2019-09-03
2515121134,4,3,2,2019-01-28,0,,0,,32.8,5.94,3.92,247,2019-09-03
2515121136,3,3,1,2018-08-31,0,,0,,36.3,4.27,3.58,208,2019-09-03
2515121143,4,3,1,2019-08-25,0,,0,,29.9,5.14,4.14,445,2019-09-03
2515121153,4,4,1,2018-12-18,0,,0,,27.6,3.93,3.67,126,2019-09-03
2515121156,4,3,1,2019-07-07,0,,0,,44,3.12,2.75,226,2019-09-03
